product_id,product_name,category_id,category_name,price
200,Name,7,Thus,312.78
201,Visit,2,Mr,321.17
202,Dream,6,Story,375.45
203,Laugh,2,Resource,255.5
204,Employee,7,Court,437.5
205,Loss,4,Likely,240.26
206,It,6,Cup,285.97
207,Week,1,Forward,109.44
208,Business,4,Free,44.61
209,Question,7,Over,427.29
210,Manager,9,Lose,392.53
211,Number,2,Popular,306.02
212,Suggest,6,Hit,240.92
213,Can,5,Civil,376.16
214,Upon,8,Themselves,148.34
215,Central,7,Behind,352.38
216,Send,3,Try,26.25
217,Perform,4,Vote,438.42
218,Order,4,Change,199.72
219,Analysis,4,Whose,481.39
220,Agent,6,Enjoy,235.28
221,For,8,Mother,202.95
222,Small,6,Law,292.41
223,For,7,Exist,317.64
224,Wall,4,School,308.92
225,Debate,1,Something,240.94
226,Never,3,Image,159.68
227,Financial,1,Author,108.58
228,Car,1,Its,317.39
229,Knowledge,1,On,124.78
230,But,3,Help,385.3
231,Miss,2,Meet,237.1
232,Thank,4,Lay,223.02
233,By,7,Move,114.34
234,Sure,9,Dark,456.32
235,Nation,1,Language,194.67
236,Article,1,Sense,187.78
237,Draw,7,Listen,158.44
238,Example,1,These,281.89
239,Current,5,Up,466.32
240,Serious,3,Rock,137.23
241,Finally,4,Amount,48.21
242,Expect,5,By,279.13
243,Low,9,Easy,63.66
244,Day,4,Peace,408.29
245,Spring,5,Positive,381.62
246,In,6,Conference,21.94
247,Able,9,Trade,423.8
248,Tough,5,State,141.78
249,Tax,2,Phone,339.21
250,Research,1,Send,432.99
251,Important,6,Could,136.71
252,Raise,7,Common,189.32
253,Black,9,Black,123.13
254,Shoulder,5,Plan,227.65
255,Media,4,Particular,306.23
256,Want,5,Actually,131.17
257,Event,9,Item,57.72
258,Moment,5,Almost,92.68
259,Speech,3,Number,350.7
260,System,8,Ready,394.56
261,Strong,8,Daughter,343.92
262,Difficult,1,Respond,225.65
263,Meeting,4,Yard,264.84
264,Subject,4,Too,88.83
265,Recent,6,Window,296.3
266,Order,9,His,287.06
267,Last,8,Fund,375.69
268,Avoid,5,Firm,398.21
269,Article,7,About,273.75
270,Respond,9,Your,75.15
271,Serve,6,Actually,70.51
272,Condition,8,Wrong,422.87
273,Tend,4,Director,200.49
274,Evening,9,Tree,133.61
275,White,4,Store,140.26
276,Decade,4,Guess,443.98
277,Sea,2,Religious,245.86
278,Pattern,4,Treatment,324.28
279,Use,9,Agency,158.5
280,East,3,Unit,285.07
281,Within,5,Least,286.96
282,Under,8,Serious,78.95
283,Effort,2,Hard,237.64
284,Popular,3,Simply,129.87
285,Congress,9,It,204.02
286,Beat,3,White,115.89
287,Study,6,Bank,278.46
288,Business,6,Black,146.12
289,Far,9,Analysis,120.2
290,Law,1,Thing,92.2
291,West,4,Rather,234.47
292,Newspaper,7,Plan,163.55
293,Ago,7,Reveal,157.52
294,Light,9,Wide,303.41
295,Effort,9,General,456.39
296,Minute,1,Bank,319.93
297,Situation,7,Test,343.96
298,Thing,8,Notice,232.88
299,Majority,2,Across,352.01
